DATE,SP57BOND,,,,,,,,
2/28/11,432.4,,,,,,,,
3/1/11,432.96,,,,,,,,
3/2/11,431.41,,,,,,,,
3/3/11,428.74,,,,,,,,
3/4/11,431.42,,,,,,,,
3/7/11,431,,,,,,,,
3/8/11,430.52,,,,,,,,
3/9/11,432.13,,,,,,,,
3/10/11,434.77,,,,,,,,
3/11/11,434.56,,,,,,,,
3/14/11,435.8,,,,,,,,
3/15/11,436.43,,,,,,,,
3/16/11,439.42,,,,,,,,
3/17/11,438.35,,,,,,,,
3/18/11,437.61,,,,,,,,
3/21/11,435.83,,,,,,,,
3/22/11,435.5,,,,,,,,
3/23/11,435.16,,,,,,,,
3/24/11,433.45,,,,,,,,
3/25/11,432.53,,,,,,,,
3/28/11,432.26,,,,,,,,
3/29/11,431.25,,,,,,,,
3/30/11,432.37,,,,,,,,
3/31/11,431.39,,,,,,,,
4/1/11,431.77,,,,,,,,
4/4/11,432.83,,,,,,,,
4/5/11,431.17,,,,,,,,
4/6/11,429.93,,,,,,,,
4/7/11,430.68,,,,,,,,
4/8/11,429.98,,,,,,,,
4/11/11,430.21,,,,,,,,
4/12/11,432.52,,,,,,,,
4/13/11,433.34,,,,,,,,
4/14/11,432.5,,,,,,,,
4/15/11,434.69,,,,,,,,
4/18/11,435.79,,,,,,,,
4/19/11,436.03,,,,,,,,
4/20/11,434.93,,,,,,,,
4/21/11,434.92,,,,,,,,
4/25/11,436.25,,,,,,,,
4/26/11,437.55,,,,,,,,
4/27/11,437.32,,,,,,,,
4/28/11,438.55,,,,,,,,
4/29/11,439.28,,,,,,,,
5/2/11,439.47,,,,,,,,
5/3/11,440.02,,,,,,,,
5/4/11,440.56,,,,,,,,
5/5/11,441.97,,,,,,,,
5/6/11,442.3,,,,,,,,
5/9/11,443.06,,,,,,,,
5/10/11,441.54,,,,,,,,
5/11/11,442.71,,,,,,,,
5/12/11,442.18,,,,,,,,
5/13/11,443.13,,,,,,,,
5/16/11,443.96,,,,,,,,
5/17/11,444.66,,,,,,,,
5/18/11,443.02,,,,,,,,
5/19/11,443.54,,,,,,,,
5/20/11,444.27,,,,,,,,
5/23/11,444.71,,,,,,,,
5/24/11,445.03,,,,,,,,
5/25/11,445.21,,,,,,,,
5/26/11,447.22,,,,,,,,
